Date,SpeedW,Lat,Lon,Speed,Edate
01/01/202122:27:06,2.9kn(s),47.051,-53.61989,2.9,1
01/01/202122:59:37,11.4kn(s),47.00721,-53.72345,11.4,1
01/01/202123:10:22,12.2kn(s),46.97526,-53.74703,12.2,1
01/01/202123:28:37,12.2kn(s),46.917,-53.77801,12.2,1
01/01/202123:40:26,7.2kn(s),46.88515,-53.78169,7.2,1
01/01/202123:51:41,7.1kn(s),46.86398,-53.78241,7.1,1
02/01/202100:02:19,7.1kn(s),46.84303,-53.78303,7.1,2
02/01/202100:13:11,7.2kn(s),46.82141,-53.7835,7.2,2
02/01/202100:34:38,7.4kn(s),46.77847,-53.78281,7.4,2
02/01/202100:51:27,7.7kn(s),46.74259,-53.7833,7.7,2
02/01/202101:02:51,7.3kn(s),46.71806,-53.78401,7.3,2
02/01/202101:13:22,7.4kn(s),46.6966,-53.7833,7.4,2
02/01/202101:23:48,10.1kn(s),46.67057,-53.78063,10.1,2
02/01/202101:34:18,9.4kn(s),46.63983,-53.77853,9.4,2
02/01/202101:45:20,7.3kn(s),46.6158,-53.77491,7.3,2
02/01/202101:56:19,7.8kn(s),46.59365,-53.7672,7.8,2
02/01/202102:07:00,8.1kn(s),46.57619,-53.74452,8.1,2
02/01/202102:18:07,7.9kn(s),46.55818,-53.72109,7.9,2
02/01/202102:28:47,8.1kn(s),46.54082,-53.69973,8.1,2
02/01/202102:45:19,8.2kn(s),46.51301,-53.6672,8.2,2
02/01/202102:56:00,7.7kn(s),46.49601,-53.64614,7.7,2
02/01/202103:06:48,7.3kn(s),46.47934,-53.62565,7.3,2
02/01/202103:17:07,7.6kn(s),46.46344,-53.60586,7.6,2
02/01/202103:27:52,7.3kn(s),46.44745,-53.58433,7.3,2
02/01/202103:38:37,10.3kn(s),46.42955,-53.56007,10.3,2
02/01/202103:49:28,11.5kn(s),46.4062,-53.52562,11.5,2
02/01/202104:03:08,11.3kn(s),46.38066,-53.47462,11.3,2
02/01/202104:13:47,11kn(s),46.36161,-53.43556,11,2
02/01/202104:24:48,11.1kn(s),46.34232,-53.39528,11.1,2
02/01/202104:35:21,11.5kn(s),46.32325,-53.3559,11.5,2
02/01/202104:46:19,11.5kn(s),46.30284,-53.31479,11.5,2
02/01/202104:56:49,11.3kn(s),46.28322,-53.27558,11.3,2
02/01/202105:07:58,8.7kn(s),46.27607,-53.23233,8.7,2
02/01/202105:18:39,7.7kn(s),46.27512,-53.19811,7.7,2
02/01/202105:34:10,7.5kn(s),46.27325,-53.15098,7.5,2
02/01/202105:44:50,7.8kn(s),46.27183,-53.1187,7.8,2
02/01/202105:55:11,7.6kn(s),46.27063,-53.08739,7.6,2
02/01/202106:06:27,7.4kn(s),46.26943,-53.05391,7.4,2
02/01/202106:16:49,7.3kn(s),46.26866,-53.02337,7.3,2
02/01/202106:27:36,7.2kn(s),46.26821,-52.99175,7.2,2
02/01/202106:38:08,6.9kn(s),46.26774,-52.96138,6.9,2
02/01/202106:49:07,7.1kn(s),46.26705,-52.9307,7.1,2
02/01/202106:59:39,7kn(s),46.26613,-52.90143,7,2
02/01/202107:10:21,6.5kn(s),46.26506,-52.87251,6.5,2
02/01/202107:21:19,6.8kn(s),46.26149,-52.84347,6.8,2
02/01/202107:36:59,6.7kn(s),46.25428,-52.80191,6.7,2
02/01/202107:47:58,6.9kn(s),46.24981,-52.77206,6.9,2
02/01/202107:58:58,6.9kn(s),46.24896,-52.7418,6.9,2
02/01/202108:14:10,7.1kn(s),46.24883,-52.69947,7.1,2
02/01/202108:25:50,7kn(s),46.24945,-52.66667,7,2
02/01/202108:36:30,7.1kn(s),46.24977,-52.63643,7.1,2
02/01/202109:15:45,7.2kn(s),46.25131,-52.52303,7.2,2
02/01/202109:45:45,7.2kn(s),46.25317,-52.43494,7.2,2
02/01/202111:09:45,7.3kn(s),46.26113,-52.18825,7.3,2
02/01/202112:41:36,7.4kn(s),46.25846,-51.91475,7.4,2
02/01/202114:43:55,7.7kn(s),46.25496,-51.53864,7.7,2
02/01/202117:28:16,7.5kn(s),46.25581,-51.03381,7.5,2
02/01/202118:02:16,7.6kn(s),46.25593,-50.92986,7.6,2
02/01/202118:33:46,7.4kn(s),46.25501,-50.83553,7.4,2
02/01/202119:18:24,7.3kn(s),46.25356,-50.7023,7.3,2
02/01/202119:41:27,7.4kn(s),46.25285,-50.63453,7.4,2
02/01/202120:55:06,7.3kn(s),46.27019,-50.42399,7.3,2
02/01/202121:31:46,7kn(s),46.28664,-50.32352,7,2
02/01/202122:35:56,7kn(s),46.32303,-50.15759,7,2
02/01/202123:10:27,9.8kn(s),46.34014,-50.06458,9.8,2
02/01/202123:21:46,11.5kn(s),46.33642,-50.01535,11.5,2
03/01/202100:24:36,6.7kn(s),46.36154,-49.84432,6.7,3
03/01/202101:09:27,6.8kn(s),46.37689,-49.72509,6.8,3
03/01/202101:39:26,7.1kn(s),46.38544,-49.64559,7.1,3
03/01/202104:01:07,6.6kn(s),46.42573,-49.26414,6.6,3
03/01/202105:46:27,6.1kn(s),46.4648,-49.00296,6.1,3
03/01/202108:49:57,1.3kn(s),46.5623,-48.51897,1.3,3
03/01/202109:23:36,.1kn(s),46.56226,-48.51901,0.1,3
03/01/202109:57:27,1.4kn(s),46.5623,-48.51902,1.4,3
03/01/202110:15:26,.2kn(s),46.56227,-48.51902,0.2,3
03/01/202110:38:46,1kn(s),46.56218,-48.51851,1,3
03/01/202111:07:16,1.5kn(s),46.56218,-48.5185,1.5,3
03/01/202111:46:07,.5kn(s),46.56216,-48.5185,0.5,3
03/01/202112:19:56,.5kn(s),46.56217,-48.51851,0.5,3
04/01/202117:08:42,14.2kn(s),46.50527,-48.88321,14.2,4
04/01/202117:48:19,14.6kn(s),46.47138,-49.10921,14.6,4
04/01/202118:24:07,14.4kn(s),46.44033,-49.3139,14.4,4
04/01/202120:07:07,12kn(s),46.43948,-49.53073,12,4
04/01/202121:15:22,14.8kn(s),46.37061,-49.8945,14.8,4
04/01/202121:50:47,15kn(s),46.34066,-50.10276,15,4
04/01/202122:24:29,15.2kn(s),46.31333,-50.30228,15.2,4
04/01/202122:59:52,14.9kn(s),46.28483,-50.51039,14.9,4
04/01/202123:35:47,14.8kn(s),46.26365,-50.72347,14.8,4
04/01/202123:48:17,14.6kn(s),46.25971,-50.79759,14.6,4
05/01/202100:47:22,14.7kn(s),46.25473,-51.14862,14.7,5
05/01/202101:05:15,14.8kn(s),46.25545,-51.25372,14.8,5
05/01/202101:29:37,14.6kn(s),46.25673,-51.39691,14.6,5
05/01/202101:40:26,14.5kn(s),46.25734,-51.45991,14.5,5
05/01/202101:55:47,14.6kn(s),46.25841,-51.5498,14.6,5
05/01/202102:15:23,14.5kn(s),46.25994,-51.66358,14.5,5
05/01/202102:29:27,14.3kn(s),46.26099,-51.74466,14.3,5
05/01/202102:50:37,14.4kn(s),46.26207,-51.86661,14.4,5
05/01/202103:11:00,14.3kn(s),46.26314,-51.98337,14.3,5
