Date,SpeedW,Lat,Lon,Speed,Edate
01/01/202100:29:23,7.1kn(s),46.97823,-54.56137,7.1,1
01/01/202101:42:12,7.2kn(s),46.87061,-54.6991,7.2,1
01/01/202102:20:32,8.1kn(s),46.81137,-54.73102,8.1,1
01/01/202103:24:13,7.1kn(s),46.73556,-54.56855,7.1,1
01/01/202103:35:08,7.1kn(s),46.7226,-54.54425,7.1,1
01/01/202103:45:34,7.2kn(s),46.70906,-54.52105,7.2,1
01/01/202103:57:04,7.3kn(s),46.69369,-54.49591,7.3,1
01/01/202104:10:04,7.2kn(s),46.67582,-54.46832,7.2,1
01/01/202104:20:26,7.4kn(s),46.661,-54.44674,7.4,1
01/01/202104:30:54,7.3kn(s),46.64563,-54.42546,7.3,1
01/01/202104:41:58,7.2kn(s),46.63011,-54.40337,7.2,1
01/01/202104:52:37,7.1kn(s),46.61492,-54.38257,7.1,1
01/01/202105:04:14,7.2kn(s),46.59829,-54.35894,7.2,1
01/01/202105:19:33,7.1kn(s),46.57653,-54.32847,7.1,1
01/01/202105:30:26,7.1kn(s),46.56019,-54.30819,7.1,1
01/01/202105:41:23,7kn(s),46.5441,-54.28737,7,1
01/01/202105:52:02,7.2kn(s),46.52808,-54.26792,7.2,1
01/01/202106:02:23,7.3kn(s),46.51185,-54.24867,7.3,1
01/01/202106:12:45,7.2kn(s),46.49552,-54.22969,7.2,1
01/01/202106:23:08,7.1kn(s),46.47939,-54.21059,7.1,1
01/01/202106:33:44,7.1kn(s),46.46278,-54.19159,7.1,1
01/01/202106:44:22,6.9kn(s),46.44632,-54.17343,6.9,1
01/01/202106:55:06,7.1kn(s),46.4304,-54.15378,7.1,1
01/01/202107:06:15,7.3kn(s),46.41324,-54.13323,7.3,1
01/01/202107:17:06,7.3kn(s),46.39596,-54.1133,7.3,1
01/01/202107:28:13,7.4kn(s),46.37803,-54.09255,7.4,1
01/01/202107:38:36,7.6kn(s),46.36235,-54.07188,7.6,1
01/01/202107:49:04,7.4kn(s),46.35974,-54.04078,7.4,1
