Date,SpeedW,Lat,Lon,Speed,Edate
01/01/202122:27:06,2.9kn(s),47.051,-53.6199,2.9,1
01/01/202122:59:37,11.4kn(s),47.00721,-53.7235,11.4,1
01/01/202123:10:22,12.2kn(s),46.97526,-53.747,12.2,1
01/01/202123:28:37,12.2kn(s),46.917,-53.778,12.2,1
01/01/202123:40:26,7.2kn(s),46.88515,-53.7817,7.2,1
01/01/202123:51:41,7.1kn(s),46.86398,-53.7824,7.1,1
02/01/202100:02:19,7.1kn(s),46.84303,-53.783,7.1,2
02/01/202100:13:11,7.2kn(s),46.82141,-53.7835,7.2,2
02/01/202100:34:38,7.4kn(s),46.77847,-53.7828,7.4,2
02/01/202100:51:27,7.7kn(s),46.74259,-53.7833,7.7,2
02/01/202101:02:51,7.3kn(s),46.71806,-53.784,7.3,2
02/01/202101:13:22,7.4kn(s),46.6966,-53.7833,7.4,2
02/01/202101:23:48,10.1kn(s),46.67057,-53.7806,10.1,2
02/01/202101:34:18,9.4kn(s),46.63983,-53.7785,9.4,2
02/01/202101:45:20,7.3kn(s),46.6158,-53.7749,7.3,2
02/01/202101:56:19,7.8kn(s),46.59365,-53.7672,7.8,2
02/01/202102:07:00,8.1kn(s),46.57619,-53.7445,8.1,2
02/01/202102:18:07,7.9kn(s),46.55818,-53.7211,7.9,2
02/01/202102:28:47,8.1kn(s),46.54082,-53.6997,8.1,2
02/01/202102:45:19,8.2kn(s),46.51301,-53.6672,8.2,2
02/01/202102:56:00,7.7kn(s),46.49601,-53.6461,7.7,2
02/01/202103:06:48,7.3kn(s),46.47934,-53.6257,7.3,2
02/01/202103:17:07,7.6kn(s),46.46344,-53.6059,7.6,2
02/01/202103:27:52,7.3kn(s),46.44745,-53.5843,7.3,2
02/01/202103:38:37,10.3kn(s),46.42955,-53.5601,10.3,2
02/01/202103:49:28,11.5kn(s),46.4062,-53.5256,11.5,2
02/01/202104:03:08,11.3kn(s),46.38066,-53.4746,11.3,2
02/01/202104:13:47,11kn(s),46.36161,-53.4356,11,2
02/01/202104:24:48,11.1kn(s),46.34232,-53.3953,11.1,2
02/01/202104:35:21,11.5kn(s),46.32325,-53.3559,11.5,2
02/01/202104:46:19,11.5kn(s),46.30284,-53.3148,11.5,2
02/01/202104:56:49,11.3kn(s),46.28322,-53.2756,11.3,2
02/01/202105:07:58,8.7kn(s),46.27607,-53.2323,8.7,2
02/01/202105:18:39,7.7kn(s),46.27512,-53.1981,7.7,2
02/01/202105:34:10,7.5kn(s),46.27325,-53.151,7.5,2
02/01/202105:44:50,7.8kn(s),46.27183,-53.1187,7.8,2
02/01/202105:55:11,7.6kn(s),46.27063,-53.0874,7.6,2
02/01/202106:06:27,7.4kn(s),46.26943,-53.0539,7.4,2
02/01/202106:16:49,7.3kn(s),46.26866,-53.0234,7.3,2
02/01/202106:27:36,7.2kn(s),46.26821,-52.9918,7.2,2
